iterations,edges,geodesic,clustering,movement,avg_degree,degree_skew,alpha,KS,p_KS,alpha1,alpha2,switch,KS_double,p_KS_double
0,338,6.5,0.0,N/A,4.0,0.0,5.0,1.0,0.0,5.000000031445346,1.0,5.0,1.0,0.0
169,443,4.592349957734573,0.17587113740959906,-1.907650042265427,5.242603550295858,1.1712603603284701,2.6389732660847103,0.22273422966410883,0.8781263979448483,2.63664123443926,3.4863870798201786,5.625371771619383,0.28570454274015966,0.5328952741960267
338,494,3.887503522118907,0.199621610144262,-0.7048464356156661,5.846153846153846,2.8535469442123307,2.3417653907958575,0.27804568880367153,0.2598385391319309,2.334599073839997,2.1592034229766193,4.000000000000001,0.302464822747797,0.1804073229388823
507,500,3.731614539306847,0.1778607245714798,-0.15588898281205976,5.9171597633136095,2.1499360454610645,2.2946411215090596,0.2654339889946794,0.3098801031055229,2.2859821634621493,2.0824659517440045,4.000000000000001,0.2936742906617578,0.2064610960147462
676,502,3.6485629754860525,0.1784574728361711,-0.0830515638207947,5.940828402366864,1.9244442065518224,2.2177359504368983,0.22139701278192464,0.5929999403807578,2.2054057985781332,1.8931810737220056,4.000000000000001,0.25928822330648693,0.3854820916395116
845,530,3.3165680473372783,0.17819962967891956,-0.3319949281487742,6.272189349112426,5.461652436091638,2.2297741012273766,0.2475207847751248,0.39201306708343425,2.2154463623469662,2.0030186251733912,4.000000000000001,0.27382729864003147,0.27586861615626795
1014,529,3.355593124823894,0.16588350223876994,0.03902507748661588,6.260355029585799,2.3730093195224775,2.2785157116179886,0.30206631993646016,0.12504818665663833,2.2739918923706095,4.348645484817692,9.809046927685634,0.3007717062126717,0.1280043259577553
1183,517,3.4168779938010707,0.17486860133006674,0.061284868977176554,6.118343195266272,4.681376400681045,2.256995493740874,0.25511730468599636,0.3555923420075435,2.2437184400837964,1.9946910956882364,4.000000000000001,0.2895400966536718,0.21968083771674438
1352,495,3.539025077486616,0.1385691231845077,0.12214708368554517,5.8579881656804735,1.5165321295756522,2.2753242687352815,0.21016740814160856,0.7264178005327092,2.260928208218245,1.9776966607555655,4.000000000000001,0.2434694734934026,0.5251973095626689
1521,510,3.5650183150183152,0.15110908158245429,0.025993237531699354,6.035502958579881,1.7050739487890278,2.2767044262278437,0.260545588160748,0.3310011290799188,2.2684622411022737,2.0965273909066853,4.000000000000001,0.28249951425094294,0.24367378263062597
1690,541,3.381445477599324,0.17739921350258966,-0.18357283741899133,6.402366863905326,2.191019402388658,2.1793026879950532,0.29176846085900293,0.12618348964300521,2.1714646083738227,1.981272809542164,4.000000000000001,0.32244527237332204,0.06899610476578662
1859,513,3.5338827838827838,0.17852527157260878,0.15243730628345986,6.071005917159764,1.7888441553749341,2.1921319761265963,0.23682372412435893,0.4474235799884153,2.18042141309508,1.9031938863233833,4.000000000000001,0.27478426929535665,0.27217015925217164
2028,523,3.4949281487743025,0.18598685415601526,-0.038954635108481295,6.189349112426036,2.469286620360794,2.134218062672945,0.23915023618351489,0.3876209602541543,2.122702636057159,1.7918216148577895,4.000000000000001,0.2911970389554096,0.18027236001461658
2197,507,3.5367004790081715,0.1793702468780784,0.04177233023386906,6.0,2.839457747380792,2.2764664885089543,0.23775313842639856,0.4962725553670218,2.273235488615601,4.67711661353268,8.99997492402515,0.23741586294170025,0.49816068335901004
2366,523,3.293040293040293,0.1793611823673568,-0.24366018596787864,6.189349112426036,4.75023487849936,2.266796649824272,0.2770550165318945,0.22529971192715287,2.25357399498244,2.000379166460571,4.000000000000001,0.3190217702022934,0.11236064043291587
2535,531,3.1839250493096647,0.17968345381308082,-0.1091152437306282,6.284023668639053,6.290595389460646,2.246325308405807,0.25215341889314635,0.3695242201304388,2.229278086656926,1.9609914514086875,4.000000000000003,0.2887255894150989,0.22236032957164006
2704,522,3.025781910397295,0.16932281162322876,-0.15814313891236953,6.177514792899408,9.634592182855712,2.253987832663302,0.2542836491063326,0.35947498077959966,2.2426467053550736,1.955904825768754,4.000000000000001,0.29647806368148516,0.19785199573334614
2873,503,3.3732741617357003,0.16515189771184785,0.3474922513384051,5.952662721893491,3.8849356955111207,2.3984749563928482,0.2927882578414247,0.209241205180304,2.390978502806179,4.616215346648283,7.99999998570592,0.2908661645166114,0.2153715370203999
3042,483,3.638982812059735,0.16824783749417818,0.2657086503240347,5.715976331360947,2.9527680693171363,2.3490009139322083,0.22995282142820767,0.6029435200956816,2.3360725873623194,2.0504344606446474,4.000000000000001,0.26533694600741914,0.4128189219944877
3211,477,3.6489856297548604,0.14722926646003556,0.010002817695125454,5.644970414201183,1.7089892705186112,2.340037869029449,0.17012822199783617,0.9747167728691333,2.3164716184205134,1.9271331722614962,4.000000000000001,0.19977447530266002,0.9069147648903018
3380,506,3.5016906170752327,0.17641631872401095,-0.14729501267962775,5.988165680473373,1.5164164106269036,2.2752155962425484,0.2374103454165104,0.49819160993083644,2.264975103759847,2.0580196114435276,4.00000000000052,0.2615019782298432,0.37518387387802443
3549,500,3.6068610876303184,0.1807554262653462,0.10517047055508577,5.9171597633136095,2.0586266335688697,2.229922070651133,0.19756239135925557,0.8299195453436397,2.210107308430957,1.8440696589301209,4.000000000000001,0.23972596646233607,0.5461336127545081
3718,513,3.4148351648351647,0.15941996421964177,-0.19202592279515374,6.071005917159764,2.394701845040875,2.2724836592509945,0.25938812657537635,0.33614421742197603,2.2598565181114916,2.017475431064804,4.000000000000001,0.2932297875729271,0.20785221896726827
3887,468,3.7752183713722176,0.15402718583191952,0.3603832065370529,5.538461538461538,2.3504797521706897,2.4361450423492443,0.2523257535279447,0.4775950511598559,2.4296449689735855,2.226735274014591,4.000000000000001,0.27881714610264535,0.35241059170205724
4056,501,3.6435615666384895,0.187028175637643,-0.1316568047337281,5.928994082840236,2.15163127467623,2.29681239094556,0.2660224162786734,0.307403072294069,2.2892732009823136,2.087183824732682,4.000000000000001,0.29437932658140326,0.20426940940696742
4225,503,3.615243730628346,0.18244667142344234,-0.028317836010143704,5.952662721893491,3.0069164094220997,2.3289738788214427,0.2942564359386427,0.17152773986385367,2.3208806577740155,10.367989547923681,8.773946242938468,0.3043791817827898,0.144936575229954
4394,475,3.7593688362919133,0.14081235506574877,0.1441251056635675,5.621301775147929,1.9111187656512052,2.5202222672866164,0.23956806789825863,0.6143508121235414,2.5159718220774168,4.651668040419626,8.999999998851123,0.23855095505207063,0.620122606889633
4563,472,3.6713863060016907,0.15417830033214647,-0.08798253029022263,5.585798816568047,3.973634597523659,2.5203874932688866,0.2729408902528155,0.377900332999026,2.5116734591197227,4.455308104340128,6.85166764105906,0.2705648958110746,0.38857646523395317
4732,501,3.588123415046492,0.15266337869888166,-0.0832628909551989,5.928994082840236,1.96289672740505,2.334261555201921,0.2760596606344359,0.26729768390523245,2.3278882932341385,2.1811049528947684,4.000000000000001,0.295121823505789,0.20198082576605997
4901,516,3.467244294167371,0.17414322035623805,-0.1208791208791209,6.106508875739645,3.2450189164622727,2.2192445478770964,0.24455118323893915,0.4068963982285193,2.206336390793102,1.9270061706352755,4.000000000000001,0.28356159654951035,0.23993296953510912
5070,502,3.458298112144266,0.15143136246512512,-0.008946182023104932,5.940828402366864,2.617747910199837,2.290740995418905,0.26437523373692695,0.31437234207161446,2.286925968711814,3.1237124580827347,6.000000471650052,0.2687109450179519,0.2962636382515045
5239,489,3.5581854043392505,0.143809897029528,0.09988729219498449,5.78698224852071,2.6736709670333476,2.35959931431679,0.30261718714384367,0.14931489541474122,2.3557268706032906,2.2021825816453013,4.000000000000001,0.32990182039856497,0.09222568578080442
5408,479,3.697731755424063,0.1468443128206441,0.1395463510848125,5.668639053254438,1.7801841344495513,2.40241120286617,0.21147636435908768,0.8156877895029467,2.391722281116867,2.188459527221442,4.000000000000001,0.23551575731371294,0.6374952965594219
